,Rating,MRP,Processor,RAM,OS,Storage,Brand,OS_arch,RAM_Type
443,3.8,22490.0,Intel Core i5 Processor,4 GB,Windows 11,['512 GB SSD'],HP,64,LPDDR4X
444,4.2,249900.0,Intel Core i5 Processor,16 GB,Windows 11,['1 TB SSD'],APPLE,64,Unified Memory
445,4.2,309900.0,Intel Core i5 Processor,32 GB,Windows 11,['1 TB SSD'],APPLE,64,Unified Memory
446,4.2,304980.0,Intel Core i9 Processor,16 GB,Windows 11,['1 TB SSD'],ASUS,64,LPDDR5
447,4.3,36158.0,Intel Core i3 Processor,8 GB,Windows 11,['512 GB SSD'],Lenovo,64,DDR4
448,4.2,154990.0,Intel Core i5 Processor,16 GB,Windows 11,['512 GB SSD'],DELL,64,DDR4
449,4.2,154490.0,AMD Ryzen 9 Octa Core Processor,32 GB,Windows 11,['1 TB SSD'],HP,64,DDR5
450,4.0,56790.0,AMD Ryzen 5 Hexa Core Processor,8 GB,Windows 11,"['1 TB HDD', '256 GB SSD']",Lenovo,64,DDR4
451,4.5,37990.0,Intel Core i3 Processor,8 GB,Windows 11,['512 GB SSD'],MSI,64,DDR4
452,4.2,56990.0,Intel Core i5 Processor,8 GB,Windows 11,['512 GB SSD'],MSI,64,DDR4
453,4.2,269900.0,Intel Core i5 Processor,16 GB,Windows 11,['1 TB SSD'],APPLE,64,Unified Memory
454,4.4,149990.0,Intel Core i5 Processor,8 GB,Windows 11,['512 GB SSD'],APPLE,64,Unified Memory
455,4.2,33639.0,Intel Core i3 Processor,8 GB,Windows 11,['256 GB SSD'],Lenovo,64,DDR4
456,4.2,56990.0,Intel Core i5 Processor,8 GB,Windows 11,['512 GB SSD'],MSI,64,DDR4
457,4.2,72990.0,Intel Core i5 Processor,16 GB,Windows 11,['512 GB SSD'],HP,64,DDR4
458,4.2,309900.0,Intel Core i5 Processor,32 GB,Windows 11,['1 TB SSD'],APPLE,64,Unified Memory
459,4.2,25490.0,Intel Celeron Dual Core Processor,4 GB,Windows 11,['512 GB SSD'],HP,64,LPDDR4
460,4.2,304980.0,Intel Core i9 Processor,16 GB,Windows 11,['1 TB SSD'],ASUS,64,LPDDR5
461,4.2,43090.0,Intel Core i3 Processor,4 GB,Windows 11,"['1 TB HDD', '256 GB SSD']",DELL,64,DDR4
462,4.2,99990.0,AMD Ryzen 7 Octa Core Processor,16 GB,Windows 11,['512 GB SSD'],HP,64,DDR4
463,4.2,58400.0,Intel Core i5 Processor,8 GB,Windows 11,['512 GB SSD'],HP,64,DDR4
