,Rating,MRP,Processor,RAM,OS,Storage,OS_arch,RAM_Type,cluster
667,4.2,33639.0,Intel Core i3 Processor,8 GB,Windows 11,"('256 GB SSD',)",64,DDR4,1
668,4.2,89490.0,Intel Core i5 Processor,8 GB,Windows 11,"('512 GB SSD',)",64,DDR4,5
669,4.2,62250.0,Intel Core i5 Processor,8 GB,Windows 11,"('1 TB SSD',)",64,DDR4,5
670,3.9,104400.0,AMD Ryzen 7 Octa Core Processor,16 GB,Windows 11,"('1 TB SSD',)",64,DDR4,2
671,4.2,65990.0,Intel Core i5 Processor,16 GB,Windows 11,"('512 GB SSD',)",64,DDR4,7
672,3.6,31490.0,AMD Ryzen 3 Dual Core Processor,4 GB,Windows 10,"('1 TB HDD',)",64,DDR4,6
673,4.1,73799.0,Intel Core i5 Processor,8 GB,Windows 11,"('512 GB SSD',)",64,DDR4,5
674,4.2,138999.0,AMD Ryzen 7 Octa Core Processor,16 GB,Windows 11,"('1 TB SSD',)",64,LPDDR5,2
675,4.2,25490.0,Intel Celeron Dual Core Processor,4 GB,Windows 11,"('512 GB SSD',)",64,LPDDR4,3
676,4.4,114990.0,Intel Core i7 Processor,16 GB,Windows 11,"('1 TB SSD',)",64,DDR4,2
677,4.2,42999.0,Intel Core i3 Processor,8 GB,Windows 11,"('512 GB SSD',)",64,DDR4,5
678,4.3,35990.0,Intel Core i3 Processor,4 GB,Windows 10,"('256 GB SSD',)",64,DDR4,1
679,4.2,58400.0,Intel Core i5 Processor,8 GB,Windows 11,"('512 GB SSD',)",64,DDR4,5
680,3.7,37990.0,Intel Core i3 Processor,8 GB,DOS,"('256 GB SSD',)",64,DDR4,1
681,4.2,74990.0,Intel Core i5 Processor,8 GB,Windows 11,"('512 GB SSD',)",64,LPDDR4X,5
682,4.2,70430.0,Intel Core i5 Processor,8 GB,Windows 11,"('512 GB SSD',)",64,DDR4,5
683,4.3,53990.0,Intel Core i5 Processor,8 GB,Windows 11,"('512 GB SSD',)",64,DDR4,5
684,4.2,28790.0,AMD Ryzen 3 Dual Core Processor,8 GB,Windows 11,"('512 GB SSD',)",64,DDR4,5
685,4.3,39490.0,Intel Core i3 Processor,8 GB,Windows 10,"('256 GB SSD',)",64,DDR4,1
686,4.7,89990.0,Intel Core i7 Processor,16 GB,Windows 10,"('1 TB SSD',)",64,LPDDR4X,0
687,4.2,60990.0,Intel Core i5 Processor,16 GB,Windows 11,"('512 GB SSD',)",64,DDR4,7
688,4.3,82490.0,Intel Core i7 Processor,8 GB,Windows 10,"('1 TB HDD', '256 GB SSD')",64,DDR4,5
689,4.5,58990.0,AMD Ryzen 5 Hexa Core Processor,8 GB,Windows 10,"('512 GB SSD',)",64,DDR4,5
690,4.2,89509.0,AMD Ryzen 7 Dual Core Processor,16 GB,Windows 11,"('512 GB SSD',)",64,DDR5,7
691,3.8,22490.0,Intel Core i5 Processor,4 GB,Windows 11,"('512 GB SSD',)",64,LPDDR4X,6
692,4.2,39990.0,Intel Core i5 Processor,8 GB,Windows 11,"('512 GB SSD',)",64,LPDDR4X,5
693,4.4,55490.0,Intel Core i5 Processor,8 GB,Windows 10,"('512 GB SSD',)",64,DDR4,5
694,4.0,25990.0,Intel Celeron Dual Core Processor,4 GB,Windows 11,"('512 GB SSD',)",64,LPDDR4,3
695,3.9,62990.0,Intel Core i5 Processor,16 GB,Windows 11,"('512 GB SSD',)",64,DDR4,7
696,4.1,73799.0,Intel Core i5 Processor,8 GB,Windows 11,"('512 GB SSD',)",64,DDR4,5
697,4.2,39990.0,Intel Core i3 Processor,8 GB,Windows 11,"('512 GB SSD',)",64,DDR4,5
698,4.0,25990.0,Intel Celeron Dual Core Processor,4 GB,Windows 11,"('512 GB SSD',)",64,LPDDR4,3
699,4.2,25490.0,Intel Celeron Dual Core Processor,4 GB,Windows 11,"('512 GB SSD',)",64,LPDDR4,3
700,4.5,58490.0,AMD Ryzen 5 Hexa Core Processor,8 GB,Windows 10,"('1 TB HDD', '256 GB SSD')",64,DDR4,5
