,Rating,MRP,Processor,RAM,OS,Storage,Brand
215,,50990.0,AMD Ryzen 5 Hexa Core Processor,16 GB DDR4 RAM,,512 GB SSD,MSI
216,4.5,37990.0,Intel Core i3 Processor,8 GB DDR4 RAM,,512 GB SSD,MSI
217,,79990.0,Intel Core i5 Processor,16 GB LPDDR4X RAM,,512 GB SSD,SAMSUNG
218,4.5,74990.0,Intel Core i5 Processor,16 GB DDR4 RAM,64 bit Windows 11 Operating System,512 GB SSD,ASUS
219,4.2,25490.0,Intel Celeron Dual Core Processor,4 GB LPDDR4 RAM,,,HP
220,,115990.0,AMD Ryzen 7 Octa Core Processor,16 GB DDR4 RAM,,1 TB SSD,ASUS
221,3.9,31990.0,Intel Core i3 Processor,4 GB DDR4 RAM,,256 GB SSD,Lenovo
222,,74490.0,AMD Ryzen 5 Hexa Core Processor,8 GB DDR4 RAM,64 bit Windows 11 Operating System,512 GB SSD,HP
223,3.8,19100.0,,4 GB DDR4 RAM,32 bit Chrome Operating System,,HP
224,4.0,27990.0,Intel Pentium Silver Processor,8 GB DDR4 RAM,64 bit Windows 11 Operating System,256 GB SSD,ASUS
225,4.7,85990.0,Intel Core i5 Processor,16 GB LPDDR4X RAM,,512 GB SSD,HP
226,,146990.0,AMD Ryzen 9 Octa Core Processor,16 GB DDR5 RAM,,1 TB SSD,DELL
227,3.8,22490.0,,4 GB LPDDR4X RAM,,,HP
228,4.5,56990.0,Intel Core i5 Processor,8 GB DDR4 RAM,,512 GB SSD,ASUS
229,,210990.0,AMD Ryzen 9 Octa Core Processor,16 GB DDR5 RAM,64 bit Windows 11 Operating System,1 TB SSD,ASUS
230,,149990.0,Intel Core i7 Processor,16 GB DDR4 RAM,64 bit Windows 11 Operating System,1 TB SSD,GIGABYTE
231,4.3,36158.0,Intel Core i3 Processor,8 GB DDR4 RAM,64 bit Windows 11 Operating System,512 GB SSD,Lenovo
232,5.0,103990.0,Intel Core i7 Processor,16 GB LPDDR4X RAM,,512 GB SSD,HP
233,4.8,91990.0,AMD Ryzen 5 Hexa Core Processor,16 GB LPDDR4X RAM,64 bit Windows 11 Operating System,512 GB SSD,ASUS
234,4.1,84990.0,Intel Core i7 Processor,16 GB DDR4 RAM,,512 GB SSD,ASUS
235,4.2,33639.0,Intel Core i3 Processor,8 GB DDR4 RAM,64 bit Windows 11 Operating System,256 GB SSD,Lenovo
236,4.3,45490.0,Intel Core i3 Processor,8 GB DDR4 RAM,64 bit Windows 11 Operating System,512 GB SSD,DELL
237,,47990.0,AMD Ryzen 3 Quad Core Processor,8 GB LPDDR5 RAM,,512 GB SSD,ASUS
238,4.1,40690.0,Intel Core i3 Processor,8 GB DDR4 RAM,64 bit Windows 11 Operating System,512 GB SSD,DELL
239,,50990.0,AMD Ryzen 5 Hexa Core Processor,16 GB DDR4 RAM,,512 GB SSD,MSI
240,4.3,39790.0,AMD Ryzen 3 Quad Core Processor,8 GB DDR4 RAM,64 bit Windows 11 Operating System,512 GB SSD,HP
241,,54990.0,Intel Core i5 Processor,16 GB DDR4 RAM,64 bit Windows 11 Operating System,512 GB SSD,acer
242,,47990.0,AMD Ryzen 3 Quad Core Processor,8 GB LPDDR5 RAM,,512 GB SSD,ASUS
243,4.2,25490.0,Intel Celeron Dual Core Processor,4 GB LPDDR4 RAM,,,HP
244,4.8,259900.0,,16 GB Unified Memory RAM,,1 TB SSD,APPLE
245,,139000.0,,8 GB Unified Memory RAM,,512 GB SSD,APPLE
246,,115990.0,AMD Ryzen 7 Octa Core Processor,16 GB DDR4 RAM,,1 TB SSD,ASUS
247,4.2,58400.0,Intel Core i5 Processor,8 GB DDR4 RAM,64 bit Windows 11 Operating System,512 GB SSD,HP
248,2.3,74990.0,Intel Core i5 Processor,8 GB LPDDR4X RAM,64 bit Windows 11 Operating System,512 GB SSD,ASUS
249,4.2,56490.0,Intel Core i7 Processor,8 GB DDR4 RAM,64 bit Windows 10 Operating System,512 GB SSD,Mi
